term,df,idf
sifat,16,4.73626807635808
higroskopis,10,5.171586147615925
sepeda,6,5.6235712713589825
depan,13,4.930424090799038
platform,1,6.8763342398543505
chassis,1,6.8763342398543505
sesuai,24,4.350605595546096
isi,24,4.350605595546096
kepala,7,5.49003987873446
tahi,2,6.470869131746186
sapi,1,6.8763342398543505
deh,3,6.183187059294405
pakai,80,3.1750322657418573
wah,3,6.183187059294405
gue,1,6.8763342398543505
bobibos,3,6.183187059294405
baham,1,6.8763342398543505
baku,11,5.084574770626295
mantap,1,6.8763342398543505
bikin,41,3.8318118021309275
bangkrut,2,6.470869131746186
pe,1,6.8763342398543505
ketawa,1,6.8763342398543505
lihat,14,4.861431219312086
kelakuam,1,6.8763342398543505
masyarakat,16,4.73626807635808
sini,11,5.084574770626295
potensi,17,4.679109662518131
logam,14,4.861431219312086
sentuh,1,6.8763342398543505
lapis,5,5.7777219511862405
air,71,3.2928153013982406
perlahan,1,6.8763342398543505
korosi,56,3.5264301525797457
bila,1,6.8763342398543505
ikut,10,5.171586147615925
sedot,2,6.470869131746186
ganggu,6,5.6235712713589825
sendat,1,6.8763342398543505
kadar,22,4.433987204485146
batas,9,5.26689632742025
larut,5,5.7777219511862405
pisah,12,5.00453206295276
berat,7,5.49003987873446
dasar,26,4.273644554409967
tempat,2,6.470869131746186
arti,23,4.39142759006635
sisa,4,5.960043507980195
rumus,2,6.470869131746186
sih,24,4.350605595546096
mudah,8,5.372256843078077
serap,24,4.350605595546096
udara,12,5.00453206295276
homogen,1,6.8763342398543505
korosif,9,5.26689632742025
endap,9,5.26689632742025
deteksi,1,6.8763342398543505
bentuk,5,5.7777219511862405
bahaya,5,5.7777219511862405
terhisap,2,6.470869131746186
sila,1,6.8763342398543505
bantah,6,5.6235712713589825
lepas,2,6.470869131746186
kemudian,1,6.8763342398543505
phase,2,6.470869131746186
separation,2,6.470869131746186
isap,1,6.8763342398543505
mogok,11,5.084574770626295
massal,4,5.960043507980195
cenderung,2,6.470869131746186
akumulasi,1,6.8763342398543505
analisa,2,6.470869131746186
amp,33,4.043120895798134
fakta,10,5.171586147615925
higroskopisitas,1,6.8763342398543505
fungsi,2,6.470869131746186
jembatan,1,6.8763342398543505
non,10,5.171586147615925
polar,2,6.470869131746186
buruk,14,4.861431219312086
beberapa,22,4.433987204485146
analisis,2,6.470869131746186
dapat,27,4.237276910239093
fenomena,2,6.470869131746186
vokal,1,6.8763342398543505
masif,1,6.8763342398543505
era,5,5.7777219511862405
picu,9,5.26689632742025
ambil,8,5.372256843078077
busi,6,5.6235712713589825
terus,18,4.625042441247856
sambit,1,6.8763342398543505
situ,2,6.470869131746186
enak,4,5.960043507980195
tinggal,3,6.183187059294405
sana,5,5.7777219511862405
malah,27,4.237276910239093
perapianya,1,6.8763342398543505
stabil,3,6.183187059294405
auto,1,6.8763342398543505
kan,19,4.573749146860305
ngehek,1,6.8763342398543505
pertamax,24,4.350605595546096
turbo,6,5.6235712713589825
aditif,11,5.084574770626295
performa,22,4.433987204485146
sangkal,1,6.8763342398543505
kontaminasi,8,5.372256843078077
tes,3,6.183187059294405
varian,2,6.470869131746186
bagi,21,4.47843896705598
pakar,18,4.625042441247856
universitas,2,6.470869131746186
ethanol,11,5.084574770626295
lazim,3,6.183187059294405
aman,84,3.1268301639239797
sistem,15,4.796892698174515
distribusi,9,5.26689632742025
simpan,8,5.372256843078077
jaga,3,6.183187059294405
video,4,5.960043507980195
sidak,2,6.470869131746186
wali,1,6.8763342398543505
kota,6,5.6235712713589825
surabaya,5,5.7777219511862405
cak,1,6.8763342398543505
armuji,1,6.8763342398543505
salah,18,4.625042441247856
satu,11,5.084574770626295
spbu,31,4.10374551761457
tengah,8,5.372256843078077
viral,6,5.6235712713589825
media,3,6.183187059294405
sosial,1,6.8763342398543505
rekam,1,6.8763342398543505
edar,4,5.960043507980195
periksa,5,5.7777219511862405
botol,2,6.470869131746186
cair,3,6.183187059294405
duga,13,4.930424090799038
ada,8,5.372256843078077
dalam,2,6.470869131746186
utama,29,4.168284038752141
resiko,14,4.861431219312086
lawas,4,5.960043507980195
segar,4,5.960043507980195
rutin,3,6.183187059294405
cegah,3,6.183187059294405
sumber,40,3.855909353709988
republika,1,6.8763342398543505
lapor,12,5.00453206295276
klaim,8,5.372256843078077
irit,3,6.183187059294405
komposisi,3,6.183187059294405
detail,4,5.960043507980195
publik,7,5.49003987873446
inovasi,5,5.7777219511862405
artikel,1,6.8763342398543505
nabati,3,6.183187059294405
sederhana,4,5.960043507980195
eksak,1,6.8763342398543505
aku,12,5.00453206295276
durung,1,6.8763342398543505
komentar,2,6.470869131746186
kait,11,5.084574770626295
brebet,19,4.573749146860305
servis,2,6.470869131746186
lalu,12,5.00453206295276
konsum,1,6.8763342398543505
akhire,2,6.470869131746186
kaget,1,6.8763342398543505
liane,1,6.8763342398543505
kaca,4,5.960043507980195
kasus,4,5.960043507980195
oplos,12,5.00453206295276
tiga,2,6.470869131746186
kyoke,1,6.8763342398543505
mariki,1,6.8763342398543505
bersih,31,4.10374551761457
tiap,5,5.7777219511862405
karburator,6,5.6235712713589825
justru,13,4.930424090799038
jowo,1,6.8763342398543505
tulen,1,6.8763342398543505
cfd,1,6.8763342398543505
an,13,4.930424090799038
ibu,1,6.8763342398543505
tanda,1,6.8763342398543505
jelek,8,5.372256843078077
jabat,4,5.960043507980195
bukankah,1,6.8763342398543505
singkong,16,4.73626807635808
buat,63,3.410598337054624
monopoli,1,6.8763342398543505
kompetitor,1,6.8763342398543505
pihak,13,4.930424090799038
swasta,28,4.202185590427822
kini,10,5.171586147615925
main,3,6.183187059294405
sendiri,17,4.679109662518131
antri,2,6.470869131746186
konsumen,7,5.49003987873446
pilih,7,5.49003987873446
vegaku,1,6.8763342398543505
tetap,13,4.930424090799038
mugo,1,6.8763342398543505
banyu,1,6.8763342398543505
ng,1,6.8763342398543505
wetenge,1,6.8763342398543505
badjingan,1,6.8763342398543505
kae,1,6.8763342398543505
benar,48,3.6776611223036695
berapa,18,4.625042441247856
modern,40,3.855909353709988
biasa,14,4.861431219312086
rujuk,1,6.8763342398543505
rancang,18,4.625042441247856
material,5,5.7777219511862405
plastik,5,5.7777219511862405
lap,1,6.8763342398543505
kompatibel,32,4.072973858947815
tradisional,1,6.8763342398543505
pra,1,6.8763342398543505
sering,7,5.49003987873446
komponen,16,4.73626807635808
awat,2,6.470869131746186
filter,4,5.960043507980195
sumbat,4,5.960043507980195
kotor,3,6.183187059294405
ban,2,6.470869131746186
saran,8,5.372256843078077
cek,18,4.625042441247856
penting,8,5.372256843078077
republik,7,5.49003987873446
anhydrous,1,6.8763342398543505
jenis,18,4.625042441247856
bukti,20,4.5249589826908725
konvensional,2,6.470869131746186
seal,8,5.372256843078077
gasket,1,6.8763342398543505
jangan,17,4.679109662518131
makan,2,6.470869131746186
hoax,2,6.470869131746186
kasih,10,5.171586147615925
jawab,8,5.372256843078077
renewable,2,6.470869131746186
basis,5,5.7777219511862405
biomassa,2,6.470869131746186
catat,2,6.470869131746186
kecil,15,4.796892698174515
kompatibilitas,4,5.960043507980195
konsentrasi,4,5.960043507980195
selang,6,5.6235712713589825
karet,10,5.171586147615925
sorry,1,6.8763342398543505
bela,2,6.470869131746186
seperti,4,5.960043507980195
dunia,12,5.00453206295276
soal,37,3.9318952606879103
alih,7,5.49003987873446
disclaimer,1,6.8763342398543505
muncul,6,5.6235712713589825
tanya,10,5.171586147615925
